TICKER,NAME,JUST_IND,Bloomberg Ticker,ISIN,ROIC,Beta,Risk,PE,Price to Book,Earnings per Share,Revenue Growth,Market Cap,Beat the Street,Portfolio Weight,Trailing 12 month Total Return,Dividend,ROE,WGTSCORE,RANK
A,Agilent Technologies,Industrial Goods,A,US00846U1016,2.948117426,1.182998538,#N/A N/A,32.4499313,4.898724234,2.12,6.425511661,22121893319,1.899827288,#N/A,22.99069,0.528,10.48470461,58.87,53
AA,Alcoa,Basic Resources,AA,US0138721065,6.96705715,1.383207321,#N/A N/A,15.17577351,1.861060675,1.18,25.04829363,10003355977,-5.966885348,#N/A,72.65122,0,2.770134967,47.89,624
AAL,American Airlines Group,Transportation,AAL,US02376R1023,-7.961981628,1.18717289,#N/A N/A,8.364281946,#N/A N/A,3.92,5.044798407,19765404841,-0.14323716,#N/A,-9.77267,0.4,#N/A N/A,50.06,446
AAP,Advance Auto Parts,Retail,AAP,US00751Y1064,11.32905774,1.141257048,#N/A N/A,22.73358157,2.558276885,6.44,-2.026562555,8745424443,2.696500287,#N/A,-18.96605,0.24,24.06722284,44.59,792
AAPL,Apple,Technology Hardware,AAPL,US0378331005,21.39134925,1.007645488,#N/A N/A,18.51223241,7.397897274,9.27,6.304518199,9.33286E+11,2.322738386,#N/A,25.86106,2.4,36.76533459,59.97,34
ABBV,AbbVie,Pharmaceuticals & Biotech,ABBV,US00287Y1091,17.34484121,1.385316491,#N/A N/A,18.20455911,45.93728117,3.31,10.05538654,1.63226E+11,0.647016535,#N/A,61.18003,2.63,171.8040275,56.73,100
ABC,AmerisourceBergen,Food & Drug Retailers,ABC,US03073E1055,11.99184023,1.457523108,#N/A N/A,15.51951933,5.944539746,1.67,4.286110629,18953704870,-0.017003911,#N/A,-0.4516986,1.46,38.2523798,50.03,452
ABMD,Abiomed,Health Care Equipment & Services,ABMD,US0036541003,20.88241507,1.224142909,#N/A N/A,186.0571613,23.56058535,2.54,33.33565385,16245588999,3.730394235,#N/A,177.7655,0,12.84902542,49.51,504
ABT,Abbott Laboratories,Pharmaceuticals & Biotech,ABT,US0028241000,0.891971139,1.136574745,#N/A N/A,34.08485255,3.367735205,0.27,31.34800748,1.05744E+11,0.120144173,#N/A,38.22346,1.075,9.320341593,51.75,304
ACAD,Acadia Pharmaceuticals,Pharmaceuticals & Biotech,ACAD,US0042251084,-67.9634052,1.975224972,#N/A N/A,#N/A N/A,7.565869128,-2.36,620.6797069,2304287388,1.501877347,#N/A,-36.54508,0,-51.21879191,54.76,162
ACGL,Arch Capital Group,Insurance,ACGL,BMG0450A1053,8.03722398,0.765622854,#N/A N/A,19.39571107,1.217832123,4.21,26.07380752,10795522011,7.824042982,#N/A,-16.71729,0,9.910018935,49.09,540
ACHC,Acadia Healthcare,Health Care Providers,ACHC,US00404A1097,6.192357871,0.825944781,#N/A N/A,19.30440262,1.368305801,2.3,0.903691824,3736753055,2.862254025,#N/A,-4.380225,0,8.495984805,46.35,716
ACM,AECOM,Industrial Goods,ACM,US00766T1007,#N/A N/A,1.396589398,#N/A N/A,23.07402791,1.341938417,2.18,4.552208181,5425471602,0.892244338,#N/A,1.651647,0,9.295564024,47.85,630
